Building the same source 10 times with different seeds:
seed | sha256 | size
1 | e3a694e3e21d9b7bfde7842d9673ecbf0efea359953f44f244eb406c4fdb7b25 | 70816
2 | 88e388ded4a937e958781c8d629e7d4e6bd5f487a8b7961281a581a45c70005c | 70920
3 | b2096ad1e7105421bb64f2458098d5f20eeab4cf94d5c324d34cd9da898bb0b6 | 70968
4 | 8787ea46c17d7080794d089403e9783d814ece8c9624b905d6f9e9011e200d30 | 70816
5 | b7fc95c44a3b7f62b15df56948e81ca97383117dff56c30f4991051af5a9d443 | 70968
6 | 396a62aeca3e8e495f969bd5d8895109a46c850d197fe96a220b9400776a83a5 | 70880
7 | 991f29c5ec59f9ccd3b096576812f76d840e379a2810000f9f692e1c97b70d36 | 70880
8 | c52e18f67b97138f72f23fb5b6c15e3d317c50e10a4303d6783c05112a5ab1f7 | 70864
9 | ef7677e73ccf2b9593c3af4bff0c4fc3ad6c95d6799c10e695ebd58b5efaa1d5 | 70880
10 | 6c1b6a115894b9dd6849fbdc200ecca21ec446ca5be96cb9c28aa9043dddb2af | 71016

unique hashes out of 10 builds: 10
