# artifact sha256 size entropy exported_functions
jk_algorithms_l0 0c18ff478e7b078a1ed32df2561d448bedea426d3bf39875956cb53f7bf46878 52200 1.523 18
jk_algorithms_l1 eac7a4f77da52e5f7def6a010b294af265801d5a330fc8190edf19e4679ffd2c 52264 1.577 18
jk_algorithms_l2 89756403fb29ecbda5b0457bd7f75e13e3623e963c692096482419315df71426 53304 2.546 18
jk_algorithms_l3 001f8fe518ecd81f38062adc32c66b0d32a0cb663aaf0e2c98c005ef33297463 53400 2.468 19
jk_demo_l0 5ff60a8e13a0600936c61dde1c4320344abc95ae285d811e0bf025985386d10b 52184 1.353 18
jk_demo_l1 ea4dc04523b599187276d780fb00a1561d1bd6749a21d8487ef7fa54fd455e49 52232 1.332 18
jk_demo_l2 69fef7071520a5fa4da7411c5bd72a9a6aaffdc63ad8ae1f772a2b3059d9a06a 52984 1.808 18
jk_demo_l3 ff12077ad10e5f237cd3765e1e99e8f14ec5a54e5ea82cc3ef16b00d6bacbad6 53080 1.821 19
jk_forensics_l0 31bc56ed1f21a9610155eedf2367036f40f590665bcb0c26b4001099ab3b1222 52136 1.390 18
jk_forensics_l1 da76f61e42cd8b5a611169b2414903262f1c5caa0d79fd15ff59212d48be628e 52184 1.361 18
jk_forensics_l2 d85cdccbf7ff4195184bea95a3d9a9d1175ba8a730afdc3bf5d0d130073a6747 53272 2.334 18
jk_forensics_l3 ab6dad8d37d4eb82f82f754dcebf423d2d12bf3c72de7ca0b75acbd6c55abcf4 53368 2.267 19
jk_obfuscation_demo_l0 72be06f67ead3d471dd4378a73d347c26ed9c906a3700a4dd18d2ef88ea1a36d 52192 1.406 18
jk_obfuscation_demo_l1 98c8b275525017a5d2d129206de243300602683e2766001781dfad5b9dcb6d1b 52240 1.309 18
jk_obfuscation_demo_l2 d4dc6d1b0170ec5de1b4e41f44b5a1982fc0864224f5ef3d79d9be7cc2f926d3 53136 2.198 18
jk_obfuscation_demo_l3 f762af64ccee03f152d9e52ff9ecf0725565a201a87c9d81a909f2a0f9236a1a 53232 2.134 19
jk_system_l0 cf7ac29c16699f38ff09e34ce99b407ed3d1d037b2900f6c906e9ce6760e3930 52136 1.422 18
jk_system_l1 767f95e2804dee31144ab3a70358069fef4b9f69fa1d5478bcb8fc8cdda72663 52184 1.393 18
jk_system_l2 b0cd340bc1f54d72c1645ea1bdc1707d2ba85aeeeefb6934f9e382ce26408680 53512 2.578 18
jk_system_l3 91f5ddb6e10e039f7d8c3d46fa3a14a740266e0b3026d31855246b610c768f9b 53608 2.584 19
jk_tour_l0 7c560fbdd126776ef3a5b9ebb7c3b5dadf2edbce02fd5f0704960800a0c7c5b6 52248 1.639 18
jk_tour_l1 d5125e5574cfd8f7d58e7c811d99d345bbb156744c19dfc9348f0996f3dc8b01 52312 1.532 18
jk_tour_l2 adadc97a0d023b9f238c9392d749acac3a6d5e1138684be007ce423a16339b0f 54216 2.971 18
jk_tour_l3 8c592497f20df8d8e4b2f07376d96a040fe58962cf2eef99dbfcf8ad6e3a3dc3 54312 2.959 19
c_algorithms 5a432afdc04a2f0fd2284c1d3800189ae901968a5ea9645a5676e7b4aaf6b7e9 33504 0.669 2
c_demo bd60103211d8adc8de7e4dcdaf8a433dc22188fa38d9235213edcd4afb997cd0 33464 0.394 2
c_forensics 140b1c317f8bdc866000520281896ed61d236f3601dd71b448defa61e35f504b 34552 1.061 2
c_obfuscation_demo 4637c61ae8c9be73abea4a70e16b3190cfcd539180b56b6ba6c053cace02af87 33472 0.493 2
c_system 9217e4264c54013520c1e0e47225359e26d6c6d0f72853d46450efbf46503053 34600 1.151 2
c_tour cd2aad6758cb291ba774ee64e7e2aa37609e0b2223e73ee0724735166d713787 33528 0.848 2
