artifact               funcs entryblk entryedg        bigfn bigblk bigedg entrysize opaque
c_algorithms.c             2      22      32     _fib_rec      5      6       876      0
c_demo.c                   1      10      14            -     -1     -1       180      0
c_forensics.c              3      59      88 ___stack_chk_fail      1      0      1356      0
c_obf_demo.c               4       6       8    _describe      7      9       436      0
c_obfuscation_demo.c       1       6       8            -     -1     -1       436      0
c_system.c                 3      59      88 ___stack_chk_fail      1      0      1600      0
c_tour.c                   3      23      35         _fib      5      6      1420      0
jk_algorithms_l0.c         3     188     281  _j_t2hghb9f     22     32      3828     99
jk_algorithms_l1.c         6     125     186  _j_vxxehlw0     19     27      3088     66
jk_algorithms_l2.c        11       1       0  _j_u1jd8trj     32     51      5932     33
jk_algorithms_l3.c        13       1       0  _j_u1jd8trj     32     51      5888     33
jk_demo_l0.c               1      28      41            -     -1     -1       512      9
jk_demo_l1.c               1      40      59            -     -1     -1       880     13
jk_demo_l2.c               1      70     113            -     -1     -1      2236     10
jk_demo_l3.c               3      70     113  _j_z_5ppufq     19     24      2232     10
jk_forensics_l0.c          4      47      69 _j_json_escape     21     30      1384      2
jk_forensics_l1.c          4      49      72 _j_json_escape     21     30      1444      3
jk_forensics_l2.c          4       1       0 _j_json_escape     21     30      4544      1
jk_forensics_l3.c          6       1       0 _j_json_escape     21     30      4512      1
jk_obfuscation_demo_l0.c     1      67     100            -     -1     -1      1368     28
jk_obfuscation_demo_l1.c     2      23      33  _j_oiwo6t0n     26     37       952     20
jk_obfuscation_demo_l2.c     2       1       0  _j_oiwo6t0n     42     67      2576      9
jk_obfuscation_demo_l3.c     4       1       0  _j_oiwo6t0n     42     67      2560      9
jk_system_l0.c             4      51      75 _j_json_escape     21     30      1536      2
jk_system_l1.c             4      53      78 _j_json_escape     21     30      1632      3
jk_system_l2.c             4       1       0 _j_json_escape     21     30      6304      1
jk_system_l3.c             6       1       0 _j_json_escape     21     30      6296      1
jk_tour_l0.c               4      56      82  _j_dwwcl9v0     12     17      1900     30
jk_tour_l1.c               3     104     154  _j_m3tuz7o1     10     13      3204     37
jk_tour_l2.c               7       1       0  _j_4f7g6fui     19     30     10572     18
jk_tour_l3.c               9       1       0  _j_4f7g6fui     19     30     10580     18
