# artifact sha256 size entropy exported_functions
jk_algorithms_l0 e10a4bd391e40676a0b6884faad8752201969ec5488b001b7890e9bfb1da50f6 50896 1.211 2
jk_algorithms_l1 74f4f7f74f5a9c62d0151e70038c9a3cba2aeb25eead8403a2c9d103e65f7c44 51520 1.372 2
jk_algorithms_l2 16cdca50d681071b28e8ab2043a6c297a18bb1e603f3dc6d14e22114ee00a401 56384 3.060 2
jk_algorithms_l3 1e5786d68f740f3d35ad5ebdddbf972908f1bca852357d0f55b3de0a810c8277 73120 2.574 2
jk_demo_l0 4ee8a80e19df5b6fff7cc19dc7bb7d2c53b423a4233e465231ca2695dd2c2a88 50232 0.426 2
jk_demo_l1 73d342c2f6c75020036b87ec10b4000ba99a2a4b42b4bd94b366e61edb16593b 50456 0.536 2
jk_demo_l2 3c8c429ad61ddd6d755168a1f85a18f21a702b4408d2502bd16a3f6a30c40907 51176 0.884 2
jk_demo_l3 01853e64c0e8e040c5ca160e8c0ba3e830d232fb8c3997e9a61fa458368dea63 51288 1.006 2
jk_forensics_l0 041749b16863cdbf41b601a40615455607d73b0b58c9f7dcfed252fd6829fccc 51184 0.868 2
jk_forensics_l1 b392c4ff47d58c46abee83ad672494bf850fb158482cfaef5cece50b06370c78 51168 0.877 2
jk_forensics_l2 0f728753a7b2f602b6ab5a6471add0105042ad7749c717b5e85d8413726db399 52864 1.648 2
jk_forensics_l3 4d59c22dbfa10cd5a57fd0bdf5b1a8c2fd725f3deb69ac3646138e587cd90706 53024 1.759 2
jk_obfuscation_demo_l0 22558330e79db69b95b722cf785d1021deda308d70dc5cc466fb7effd4ba19c7 50248 0.592 2
jk_obfuscation_demo_l1 7b8f5d9d704acfa7d3e02ee245d7adfb2bb9e3c2a571580ab957af10c16e8b30 50536 0.682 2
jk_obfuscation_demo_l2 760f1b739363fa25a9a02557507bd7ffbb5eddb49ee30de9dad9713f2fe34343 52040 1.307 2
jk_obfuscation_demo_l3 8ab1f0627944e159de1bf71880836f848ae76d21e2f5320c834aa35293e57323 52168 1.412 2
jk_system_l0 fca6fd53e39b82cc4c6eef12f270f0660608466ae6f915fb7f888729904c3653 51232 0.917 2
jk_system_l1 c22d469662f7dd444ec9c1e42bf2c6ea0cc6dfc4ba064d44fa0ae44ab278c049 51216 0.930 2
jk_system_l2 ca995504b23121eb4015037c92a99bd529c8ddf42fadc51b820ffb0eba927e02 53536 1.974 2
jk_system_l3 ad12e1f5c4e5666768d5f76fffc365b4826b1e1546bf683f3a6616b5fd9869f2 53712 2.081 2
jk_tour_l0 42bfe9486fd32b8fde441ed36ce86992a21aca063ec9bc898d2fae57ff14a29a 50840 0.897 2
jk_tour_l1 aa3b38c35f7251e95f7074396c557c3ca2ea64935de46ff18418370cde9421bd 50744 1.081 2
jk_tour_l2 3205b75a5436855be321abcb9166e1a4843277c5db5494e7b3be8e90fd2049f8 73784 2.528 2
jk_tour_l3 5cb39664425afac9ecd251d4ddc7a842211480a134c229923acff831a6313507 74040 2.606 2
c_algorithms 5a432afdc04a2f0fd2284c1d3800189ae901968a5ea9645a5676e7b4aaf6b7e9 33504 0.669 2
c_demo bd60103211d8adc8de7e4dcdaf8a433dc22188fa38d9235213edcd4afb997cd0 33464 0.394 2
c_forensics 140b1c317f8bdc866000520281896ed61d236f3601dd71b448defa61e35f504b 34552 1.061 2
c_obf_demo b2fa422a1c22948046804a537f3013544a79ff4cdabc6c9d04a969b68eebb64d 33592 0.559 5
c_obfuscation_demo 4637c61ae8c9be73abea4a70e16b3190cfcd539180b56b6ba6c053cace02af87 33472 0.493 2
c_system 9217e4264c54013520c1e0e47225359e26d6c6d0f72853d46450efbf46503053 34600 1.151 2
c_tour cd2aad6758cb291ba774ee64e7e2aa37609e0b2223e73ee0724735166d713787 33528 0.848 2
